SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
20MICRONS, EQ, 29-Jun-2017, 36.85, 37.80, 38.70, 37.20, 38.20, 38.05, 38.00, 29271, 11.12, 193, 18965, 64.79
3IINFOTECH, EQ, 29-Jun-2017, 4.55, 4.80, 4.80, 4.25, 4.35, 4.35, 4.42, 9029097, 399.49, 2282, 4577232, 50.69
3MINDIA, EQ, 29-Jun-2017, 13266.70, 13300.00, 13495.00, 13190.00, 13492.00, 13409.90, 13293.17, 852, 113.26, 208, 641, 75.23
63MOONS, EQ, 29-Jun-2017, 61.00, 61.00, 67.45, 60.60, 63.90, 63.75, 64.18, 128611, 82.55, 1915, 44648, 34.72
8KMILES, EQ, 29-Jun-2017, 537.45, 535.30, 546.65, 535.00, 542.05, 540.45, 541.63, 58687, 317.87, 1452, 35341, 60.22
A2ZINFRA, EQ, 29-Jun-2017, 42.00, 42.30, 43.45, 42.10, 42.85, 42.70, 42.81, 395134, 169.14, 2145, 168171, 42.56
AARTIDRUGS, EQ, 29-Jun-2017, 521.85, 529.95, 529.95, 520.05, 524.05, 522.45, 524.38, 5129, 26.90, 401, 2777, 54.14
AARTIIND, EQ, 29-Jun-2017, 891.30, 897.95, 910.00, 894.40, 906.00, 906.25, 902.14, 32517, 293.35, 3533, 20675, 63.58
AARVEEDEN, EQ, 29-Jun-2017, 59.50, 59.80, 61.40, 59.50, 60.15, 60.60, 60.22, 9677, 5.83, 83, 6309, 65.20
ABAN, EQ, 29-Jun-2017, 182.10, 185.05, 194.55, 185.05, 188.45, 188.50, 191.02, 2026859, 3871.67, 21214, 321193, 15.85
ABB, EQ, 29-Jun-2017, 1452.00, 1452.00, 1480.00, 1435.00, 1445.00, 1441.80, 1461.87, 34870, 509.76, 2679, 8383, 24.04
ABBOTINDIA, EQ, 29-Jun-2017, 4236.10, 4255.00, 4298.00, 4200.00, 4218.75, 4222.35, 4237.70, 822, 34.83, 260, 592, 72.02
ABFRL, EQ, 29-Jun-2017, 166.55, 167.20, 173.80, 167.20, 173.70, 172.40, 170.60, 456334, 778.48, 5051, 356593, 78.14
ABGSHIP, BZ, 29-Jun-2017, 13.85, 14.50, 14.50, 14.50, 14.50, 14.50, 14.50, 42346, 6.14, 85, -, -
ABIRLANUVO, EQ, 29-Jun-2017, 1804.45, 1815.70, 1834.00, 1803.70, 1812.00, 1819.95, 1822.70, 1102392, 20093.29, 16342, 668947, 60.68
ABMINTLTD, BE, 29-Jun-2017, 96.35, 92.00, 92.00, 91.90, 91.90, 91.90, 91.90, 22, 0.02, 4, -, -
ACC, EQ, 29-Jun-2017, 1580.05, 1591.65, 1611.90, 1572.10, 1579.95, 1579.95, 1589.85, 473658, 7530.45, 17777, 189101, 39.92
ACCELYA, EQ, 29-Jun-2017, 1331.00, 1311.00, 1349.00, 1311.00, 1320.10, 1320.55, 1328.30, 856, 11.37, 325, 600, 70.09
ACE, EQ, 29-Jun-2017, 68.80, 71.80, 71.80, 68.70, 68.90, 69.25, 69.74, 221600, 154.55, 1420, 61242, 27.64
ADANIENT, EQ, 29-Jun-2017, 134.40, 135.00, 135.60, 132.60, 134.00, 133.25, 133.87, 4347591, 5820.09, 18592, 889883, 20.47
ADANIPORTS, EQ, 29-Jun-2017, 364.50, 366.95, 368.70, 362.35, 364.60, 364.50, 364.46, 3343365, 12185.23, 37441, 2153283, 64.40
ADANIPOWER, EQ, 29-Jun-2017, 28.25, 28.70, 29.40, 28.35, 29.20, 29.10, 28.80, 11046987, 3182.04, 19915, 2506068, 22.69
ADANITRANS, EQ, 29-Jun-2017, 123.25, 124.05, 125.00, 121.70, 124.05, 124.00, 123.97, 950043, 1177.72, 4354, 741939, 78.10
ADFFOODS, EQ, 29-Jun-2017, 247.95, 248.90, 258.70, 248.90, 253.25, 252.35, 253.72, 175115, 444.30, 2820, 79262, 45.26
ADHUNIK, EQ, 29-Jun-2017, 5.80, 6.00, 6.05, 5.80, 5.80, 5.80, 5.90, 32477, 1.92, 1111, 23641, 72.79
ADHUNIKIND, EQ, 29-Jun-2017, 100.45, 101.50, 101.65, 99.70, 100.45, 100.40, 100.81, 259556, 261.66, 1111, 107549, 41.44
ADLABS, EQ, 29-Jun-2017, 76.75, 77.10, 78.90, 76.00, 76.35, 76.40, 77.25, 465479, 359.60, 3750, 201960, 43.39
ADORWELD, EQ, 29-Jun-2017, 370.10, 372.00, 377.75, 367.00, 368.50, 373.35, 375.12, 7880, 29.56, 370, 3010, 38.20
ADSL, BE, 29-Jun-2017, 25.35, 24.55, 25.40, 24.55, 25.10, 25.10, 25.03, 5497, 1.38, 40, -, -
ADVANIHOTR, EQ, 29-Jun-2017, 56.55, 58.50, 59.70, 55.90, 56.85, 56.45, 56.94, 5049, 2.87, 67, 4006, 79.34
ADVENZYMES, EQ, 29-Jun-2017, 323.05, 325.80, 333.00, 323.05, 325.50, 326.40, 328.14, 211583, 694.30, 5210, 88349, 41.76
AEGISCHEM, EQ, 29-Jun-2017, 185.15, 186.00, 191.00, 185.00, 186.50, 187.30, 187.88, 242429, 455.49, 1882, 180264, 74.36
AFL, BE, 29-Jun-2017, 51.00, 53.25, 53.25, 48.45, 48.95, 48.95, 49.10, 5262, 2.58, 36, -, -
AGARIND, BE, 29-Jun-2017, 678.00, 671.00, 705.00, 671.00, 675.00, 675.00, 677.09, 211, 1.43, 9, -, -
AGCNET, BE, 29-Jun-2017, 123.10, 122.00, 128.95, 120.50, 124.50, 124.50, 125.20, 1290, 1.62, 14, -, -
AGRITECH, EQ, 29-Jun-2017, 55.80, 55.90, 58.50, 55.00, 58.10, 57.65, 56.52, 57678, 32.60, 210, 49468, 85.77
AHLEAST, EQ, 29-Jun-2017, 290.00, 287.00, 290.00, 286.00, 290.00, 289.95, 288.46, 1788, 5.16, 37, 1013, 56.66
AHLUCONT, EQ, 29-Jun-2017, 321.95, 317.25, 326.50, 317.25, 320.00, 320.90, 320.42, 21337, 68.37, 277, 19677, 92.22
AHLWEST, EQ, 29-Jun-2017, 165.00, 160.00, 169.00, 155.10, 165.00, 165.00, 163.45, 451, 0.74, 37, 298, 66.08
AIAENG, EQ, 29-Jun-2017, 1354.80, 1362.50, 1389.15, 1342.60, 1382.00, 1384.30, 1354.88, 173692, 2353.32, 7514, 142093, 81.81
AICHAMP, BE, 29-Jun-2017, 23.40, 24.55, 24.55, 24.55, 24.55, 24.55, 24.55, 100, 0.02, 1, -, -
AIFL, EQ, 29-Jun-2017, 422.20, 422.20, 426.60, 406.00, 410.15, 412.45, 415.11, 107573, 446.55, 2267, 57577, 53.52
AIRAN, SM, 29-Jun-2017, 153.85, 151.05, 158.40, 151.05, 152.50, 155.45, 153.98, 9000, 13.86, 3, 6000, 66.67
AJANTPHARM, EQ, 29-Jun-2017, 1548.25, 1550.50, 1565.00, 1538.00, 1549.95, 1547.10, 1553.38, 91246, 1417.40, 5360, 28821, 31.59
AJMERA, EQ, 29-Jun-2017, 218.80, 219.20, 223.90, 218.00, 223.00, 222.65, 221.55, 42096, 93.26, 1654, 20098, 47.74
AKASH, SM, 29-Jun-2017, 100.00, 89.25, 91.10, 89.10, 91.10, 91.10, 89.82, 3000, 2.69, 3, 0, 0.00
AKSHARCHEM, EQ, 29-Jun-2017, 757.10, 765.00, 803.00, 750.10, 780.05, 789.50, 776.09, 8691, 67.45, 761, 5101, 58.69
AKSHOPTFBR, EQ, 29-Jun-2017, 17.05, 17.20, 17.55, 17.15, 17.35, 17.40, 17.31, 371280, 64.29, 821, 205934, 55.47
AKZOINDIA, EQ, 29-Jun-2017, 1839.45, 1863.95, 1863.95, 1819.00, 1832.45, 1825.95, 1827.24, 4927, 90.03, 651, 2659, 53.97
ALANKIT, BE, 29-Jun-2017, 33.30, 33.85, 33.85, 33.05, 33.50, 33.55, 33.55, 286546, 96.14, 311, -, -
ALBERTDAVD, EQ, 29-Jun-2017, 310.85, 321.30, 321.30, 311.00, 311.05, 311.30, 315.10, 2126, 6.70, 74, 1676, 78.83
ALBK, EQ, 29-Jun-2017, 67.00, 68.10, 68.70, 66.60, 68.50, 68.20, 67.72, 3875456, 2624.54, 11822, 1175524, 30.33
